person_id,person_name,subtitle,role,organisation_name,organisation_kind,area,start_date,end_date
340,NNENNA IJEOMA ELENDU-UKEJE,"",Student,University of Lagos,Political Institution,,1992,1993
340,NNENNA IJEOMA ELENDU-UKEJE,Bachelor's Degree in Education (B.Ed English),Student,University of Benin,Political Institution,,1984,1988
391,SAMSON OKWU,Ordinary National Diploma In Accounting (HND),Student,,,,"",""
391,SAMSON OKWU,Certified Public Accountant (CPA),Student,,,,"",""
391,SAMSON OKWU,Association Of National Accountants Of Nigeria (ANAN),Student,,,,"",""
391,SAMSON OKWU,First School Leaving Certificate (FSLC),Student,,,,"",""
391,SAMSON OKWU,Certificate In Accounting & Auditing.,Student,,,,"",""
391,SAMSON OKWU,Senior School Certificate Examination (SSCE),Student,,,,"",""
172,EWA-HENSHAW BASSEY EKO,"F.S.L.C, WASC, A/Levels, LLB & BL",Student,,,,"",""
415,SYLVESTER O OGBAGA,BACHELOR'S DEGREE IN EDUCATION,Student,,,,"",""
249,JAGABA ADAMS JAGABA,grade II Cert. ,Student,Basawa Teachers College Zaria,Political Institution,,"",""
131,CHANCHANGI RUFAI AHMED,Secondary School Certificate,Student,,,,1987,1992
131,CHANCHANGI RUFAI AHMED,Primary School Certificate,Student,,,,1981,1987
338,NKIRUKA ONYEJEOCHA,Diploma in Social and Community Development,Student,University of Nigeria,Political Institution,,"",""
369,PALLY ISUMAFE OBOKHUAIME IRIASE,ICAN Membership Cert. (A.C.A),Student,,,,"",1992
369,PALLY ISUMAFE OBOKHUAIME IRIASE,M.Sc Accountancy,Student,,,,"",1988
151,DANIEL EFFIONG ASUQUO,NCE,Student,COLL.OF EDU AKAMKPA ,Political Institution,,"",1997
151,DANIEL EFFIONG ASUQUO,FLSC ,Student,ST LOUIS PRI.SCH,Political Institution,,"",1976
369,PALLY ISUMAFE OBOKHUAIME IRIASE,B.Sc (Hons) Accountancy,Student,,,,"",1982
369,PALLY ISUMAFE OBOKHUAIME IRIASE,WASC,Student,,,,"",1973
123,BINTA MAIGARI BELLO,GRADE II,Student,W.T.C BAJOGA,Political Institution,,1983,1988
130,BWACHA EMMANUEL,"",Student,,,,"",""
76,ALKALI SAIDU AHMED,Bachelor of Science Degree(Economics),Student,,,,"",""
85,SANI AHMAD RUFAI,Bachelor's And Master's Degree's In Economics.,Student,,,,"",""
86,SANKARA DANLADI ABDULLAHI,Diploma (computer data processing),Student,,,,"",""
86,SANKARA DANLADI ABDULLAHI,PH.D public administration,Student,All Saints University of the USA,Political Institution,USA,"",""
88,ANYANWU CHRIS N. D,MSc Mass Communication,Student,Florida State University,Political Institution,USA,"",1978
88,ANYANWU CHRIS N. D,BSc Journalism,Student,University of Missouri,Political Institution,USA,1973,1977
99,AYO AKINYELURE PATRICK,"Doctorate Degree in Public Administration, Masters Degree in Managerial Psychology",Student,,,,"",""
99,AYO AKINYELURE PATRICK,"HND in Accountancy, National Diploma in Accountancy",Student,,,,"",""
110,BARATA AHMED HASSAN,HND,Student,,,,"",""
126,BOLUWAJI KUNLE,"",Student,,,,"",""
98,Benedict Ayade,Msc (microbiology),Student,,,,1989,1990
98,Benedict Ayade,Bsc (Hons),Student,,,,1984,1988
98,Benedict Ayade,"",Student,,,,"",""
90,Arthur Okowa Ifeanyi,"",Student,,,,"",""
108,Bagudu Abubakar Atiku,M.A. (International Affairs),Student,,,,"",""
108,Bagudu Abubakar Atiku,"BSc (Economics), Msc (Economics)",Student,,,,"",""
31,ADAMU GURAI,B.Sc Accounting,Student,,,,"",""
31,ADAMU GURAI,Diploma in Accounting,Student,,,,"",""
31,ADAMU GURAI,WASC,Student,,,,"",""
31,ADAMU GURAI,Primary School Cert.,Student,,,,"",""
31,ADAMU GURAI,M.A in Business Admin,Student,,,,"",""
2,ABATEMI USMAN NURUDEEN,Masters Degree (Thesis Stage) ,Student,"Ahmadu Bello University, Zaria",Political Institution,,"",2001
2,ABATEMI USMAN NURUDEEN,B.Eng Agricultural Engineering,Student,Obafemi Awolowo University,Political Institution,,1992,1998
2,ABATEMI USMAN NURUDEEN,"",Student,"Government Secondary School, Ilorin",Political Institution,,1975,1982
2,ABATEMI USMAN NURUDEEN,"",Student,St. Louis Nursery & Primary School,Political Institution,,1975,1982
34,ADENIYI ANTHONY ADEMUYIWA ,"",Student,,,,"",""
34,ADENIYI ANTHONY ADEMUYIWA ,HSC,Student,,,,"",""
34,ADENIYI ANTHONY ADEMUYIWA ,LL.B,Student,,,,"",""
34,ADENIYI ANTHONY ADEMUYIWA ,B.L(Hons) ,Student,,,,"",""
37,ADESEUN AYOADE ADEMOLA,"",Student,,,,"",""
40,ADEYEMI SMART,PGD In Public Relations,Student,,,,"",""
40,ADEYEMI SMART,Diploma In Law,Student,,,,"",""
40,ADEYEMI SMART,Advanced Diploma in Mass Communication,Student,,,,"",""
43,ADOKWE SULEIMAN ASONYA,Bachelor's Degree In Sociology,Student,,,,"",""
43,ADOKWE SULEIMAN ASONYA,Master's degree In Labour Studies,Student,,,,"",""
38,ADETUNBI OLUBUNMI,"",Student,,,,"",""
43,ADOKWE SULEIMAN ASONYA,Bachelor's Degree In Law,Student,,,,"",""
43,ADOKWE SULEIMAN ASONYA,Barrister At Law,Student,,,,"",""
46,AGBOOLA AYOOLA HOSEA,"",Student,,,,"",""
66,SALEH MOHAMMED SANI,Higher National Diploma (Quantity surveying),Student,,,,"",""
140,CHUBA-OKADIGBO MARGERY,"",Student,,,,"",""
154,DANTONG GYANG DALYOP,MPH ,Student,University of Ghana Legon,Political Institution,Ghana,"",""
171,ETOK ALOYSIUS AKPAN,Doctorate Degree,Student,Caroline Christian University,Political Institution,USA,"",""
303,MOHAMMED BASHIR GARBA,"",Student,,,,"",""
184,GALAUDU ISAH MOHAMMED,"",Student,Associate Chartered Institute of Bankers (London) ACIB,Political Institution,United Kingdom,"",""
184,GALAUDU ISAH MOHAMMED,MBA,Student,Manchester business school,Political Institution,United Kingdom,"",""
184,GALAUDU ISAH MOHAMMED,Fellow chartered institute of bankers of Nigeria (FCIB),Student,Chartered Institute of Bankers of Nigeria ,Political Institution,,"",""
64,AKUME GEORGE ORPEL,Master's Degree In Labour Relations,Student,,,,"",""
138,CHRISTOPHER OMOWORARE BABAJIDE,"",Student,,,,"",""
155,DARIYE JOSHUA CHIBI,HND Accountancy (Upper Credit),Student,,,,"",2015-05-29
155,DARIYE JOSHUA CHIBI,MALAD (Masters of Arts in Law and Diplomacy),Student,,,,"",""
159,NDUME MOHAMMED ALI,HND Marketing,Student,,,,"",""
44,ADUDA PHILIP TANIMU,Diploma in Social Work,Student,,,,"",""
44,ADUDA PHILIP TANIMU,Higher Diploma (HD) in Public Admin,Student,,,,"",""
155,DARIYE JOSHUA CHIBI,MBA (Masters of Business Administration),Student,,,,"",""
271,KURE ZAYNAB ABDULKADIR,BSc Political Science ,Student,"Ahmadu Bello University, Zaria",Political Institution,,"",1984
287,MAGORO MOHAMMED,"",Student,Kontagora Senior Primary School,Political Institution,,1954,1956
190,GAYA KABIRU IBRAHIM,Computer Studies and Appreciation,Student,,,,"",""
351,SUNDAY OGBUOJI OJI,FSCL ,Student,Edda Central School,Political Institution,,"",""
294,MARK DAVID A.B,"",Student,"Military College of Telecommunication, Molow and Poona.",Political Institution,,"",""
187,GARBA BABAYO GAMAWA,Diploma in purchasing and supply,Student,,,,"",""
192,GEMADE BARNABAS ANDYAR IYORHER,M.Sc engineering ,Student,City University London ,Political Institution,United Kingdom,"",1978
454,EWUGA SOLOMON,Post Graduate Diploma in Mass Communication,Student,"Stockholm University, Sweden",Political Institution,Sweden,"",1981
191,NDOMA-EGBA VICTOR ,"",Student,University of Calabar,Political Institution,Cross Rivers,"",""
287,MAGORO MOHAMMED,"",Student,US Army War College,Political Institution,USA,"",1982
191,NDOMA-EGBA VICTOR ,"LL.B, BL, LLM",Student,,,,"",""
201,GWARZO BELLO HAYATU,National Diploma (Statistics),Student,,,,"",""
209,HASSAN ABDULMUMINI MUHAMMAD,NCE ,Student,,,,"",1987
209,HASSAN ABDULMUMINI MUHAMMAD,Teachers grade II cert ,Student,,,,"",1983
209,HASSAN ABDULMUMINI MUHAMMAD,FSLC,Student,,,,"",1977
216,HUSSEIN MUDASIRU OYETUNDE,B.A  French Language,Student,,,,"",""
232,IKISIKPO CLEVER MARCUS,"",Student,,,,"",""
233,NINGI AHMED ABDUL,"",Student,,,,"",""
236,IRIKA HADI A,"",Student,,,,"",""
248,JAFERE ALKALI ABDULKADIR,Borno teachers college,Student,,,,"",""
275,LANLEHIN OLUFEMI AKINOLA,West African School Certificate (WASC);,Student,,,,"",""
275,LANLEHIN OLUFEMI AKINOLA,Higher School Certificate (HSC);,Student,,,,"",""
275,LANLEHIN OLUFEMI AKINOLA,Bachelor of Laws LLB (HONS);,Student,,,,"",""
275,LANLEHIN OLUFEMI AKINOLA,Barrister at Law (BL),Student,,,,"",""
276,LAR VICTOR RAMPYAL,"",Student,,,,"",""
280,LAWAN MAINA MA'AJI,Bachelor's Degree in Business Administration,Student,,,,"",""
299,M. KABIR GARBA,"",Student,,,,"",""
285,MACCIDO AHMAD MUHAMMAD,"",Student,,,,"",""
289,MAKARFI AHMED M,Bachelor's Degree In Accounts,Student,,,,"",""
289,MAKARFI AHMED M,Master Of Science (Accounts And Finance).,Student,,,,"",""
272,KUTA DAHIRU AWAISU,"Bachelor of Arts in History, Graduate Certificate in Education and Post graduate Diploma in Public Administration",Student,,,,"",""
346,ODUNSI AKIN KAMAR BABALOLA,M.S advertising ,Student,University of Illinois,Political Institution,USA,"",""
324,MUSA IBRAHIM,"",Student,,,,"",""
344,OBENDE DOMINGO ALABA,MBA public services,Student,,,,"",""
344,OBENDE DOMINGO ALABA,BSC public administration,Student,,,,"",""
354,OJUDU BABAFEMI,"",Student,,,,"",""
367,OTU PRINCE BASSEY,"",Student,,,,"",""
425,TUTARE ABUBAKAR UMAR,Diploma Public Administration,Student,,,,"",""
7,ABDUL - KABIRU ABAYOMI AYEOLA,TEACHERS GRADE II CERT. ,Student,,,,"",1980
283,JOSHUA LIDANi MOLTOBOK,"",Student,,,,"",""
426,UBA ANDY EMMANUEL NNAMDI,"",Student,,,,"",""
274,LAFIAGI MOHAMMED SHAABA,"",Student,,,,"",""
419,TINUBU OLUREMI,"",Student,,,,"",""
294,MARK DAVID A.B,"B.Sc Telecommunications,",Student,,,,"",""
273,EKWEREMADU IKE,"Masters degree in Law,",Student,,,,"",""
223,IBRAHIM BUKAR ABBA,Primary School Certificate,Student,,,,"",""
294,MARK DAVID A.B,"College of Military Engineering,",Student,,,,"",""
273,EKWEREMADU IKE,Bachelors degree in Law.,Student,,,,"",""
252,Jibrilla Bindow,"",Student,,,,"",""
194,NGIGE CHRIS NWABUEZE,Bachelor of Medicine and surgery (BM. BCH),Student,"Student Union, University of Nigeria, Nsukka",Political Institution,,"",1979
430,UGBESIA ODION MAGNUS,"",Student,,,,"",""
437,USMAN ABDULAZIZ,Post Graduate Diploma In Business Management.,Student,,,,"",""
439,USMAN ATTAI AIDOKO ALI,"",Student,,,,"",""
441,USMAN NENADI ESTHER,Bsc. Geography,Student,,,,"",""
441,USMAN NENADI ESTHER,PGDM,Student,,,,"",""
441,USMAN NENADI ESTHER,Msc Geography,Student,,,,"",""
442,UZAMERE EHIGIE EDOBOR,"",Student,,,,"",""
448,NWAGU IGWE PAULINUS,FSLC,Student,,,,"",1978
448,NWAGU IGWE PAULINUS,WAEC,Student,,,,1982,1983
449,NWAGWU MATHEW IFEANYI,"",Student,,,,"",""
450,WANKWO CHRIS CHUKWUMA,"",Student,,,,"",""
459,YARADUA ABUBAKAR SADIK,"",Student,,,,"",""
469,EZE AYOGU,"Master's Degree In Public Administration,Higher National Diploma.",Student,,,,"",""
4,ABBAS MACHIKA,"",Student,,,,"",""
365,ONAOLAPO OLUGBENGA OBADARA,"",Student,,,,"",""
6,ABDUL EBBO IBRAHIM,Leaving sch. Cert,Student,LEA Pri Sch Ebbo,Political Institution,,"",1979
6,ABDUL EBBO IBRAHIM,TCII Cert,Student,Govt. Teacher's Coll Dako,Political Institution,,"",1984
6,ABDUL EBBO IBRAHIM,Cert In Public Health,Student,Sch of Health Tech Minna,Political Institution,,"",1984
6,ABDUL EBBO IBRAHIM,PGD - Public Admin,Student,Administrative Staff College of Nigeria(ASCON),Political Institution,,"",2002
7,ABDUL - KABIRU ABAYOMI AYEOLA,B.A HISTORY AND INTERNATIONAL STUDIES,Student,,,,"",2004
7,ABDUL - KABIRU ABAYOMI AYEOLA,NAT.CERT.IN EDU.(N.C.E),Student,,,,"",1989
5,ABBAS TAJUDEEN,Doctor of Philosophy(PhD) Management Studies,Student,,,,"",2010
467,ZANNA AHMED KHALIFA,OND/HND MARKETING,Student,,,,"",""
5,ABBAS TAJUDEEN,Master of Business Administration,Student,,,,"",1993
444,UZODINMA GOODHOPE ODIDIKA,WASC,Student,,,,"",""
7,ABDUL - KABIRU ABAYOMI AYEOLA,G.C.E,Student,,,,"",1980
7,ABDUL - KABIRU ABAYOMI AYEOLA,FIRST SCHOOL LEAVING CERTIFICATE,Student,,,,"",1971
15,ABDUL MUSA MSHELIZA,W Sc Pharmacy,Student,,,,"",""
15,ABDUL MUSA MSHELIZA,H Sc (Higher School Certificate),Student,,,,"",""
15,ABDUL MUSA MSHELIZA,"""O"" Level (School Leaving Certificate)",Student,,,,"",""
15,ABDUL MUSA MSHELIZA,PR. School Leaving Certificate.,Student,,,,"",""
9,ABDULLAHI MOHAMMED DAN-ALKALI,WASC,Student,,,,"",""
9,ABDULLAHI MOHAMMED DAN-ALKALI,NCE,Student,,,,"",""
9,ABDULLAHI MOHAMMED DAN-ALKALI,B.B. Ed,Student,,,,"",""
9,ABDULLAHI MOHAMMED DAN-ALKALI,M. Sc (Vocational Studies,Student,,,,"",""
11,ABDULLAHI RICCO MOHAMMED,FSLC ,Student,CEN.PRI.SCH.GUNI,Political Institution,,"",1978
13,ABDULMALIK DAGACI USMAN CHECHE,First School Leaving Certificate,Student,,,,"",""
13,ABDULMALIK DAGACI USMAN CHECHE,Teachers Grade II,Student,,,,"",""
13,ABDULMALIK DAGACI USMAN CHECHE,Certificate in Store Management,Student,,,,"",""
11,ABDULLAHI RICCO MOHAMMED,B.SC (ECONS) ,Student,"Usman Danfodiyo University, Sokoto",Political Institution,,"",1991
11,ABDULLAHI RICCO MOHAMMED,GCE ,Student,FED GOVT.COLL. AZARE,Political Institution,,"",1983
13,ABDULMALIK DAGACI USMAN CHECHE,Diploma in Marketing,Student,,,,"",""
13,ABDULMALIK DAGACI USMAN CHECHE,B. Sc Public Admin,Student,,,,"",""
17,ABDULSALAM ADAMU,Primary School Cert.,Student,,,,"",""
17,ABDULSALAM ADAMU,Teachers College Cert.,Student,,,,"",""
17,ABDULSALAM ADAMU,Basic Nursing,Student,,,,"",""
18,ABDURAHMAN ABBA TERAB,"",Student,Shehu Garbai School Maiduguri,Political Institution,,"",""
18,ABDURAHMAN ABBA TERAB,"",Student,Government College Keffi,Political Institution,Nasarawa,"",""
18,ABDURAHMAN ABBA TERAB,"",Student,University of Abuja,Political Institution,Abuja,"",""
20,ABIKE DABIRI-EREWA,Msc Mass comm,Student,University of Lagos,Political Institution,Lagos State,"",""
20,ABIKE DABIRI-EREWA,"",Student,Harvard University Kennedy School of Govt,Political Institution,USA,"",""
21,ABIMBOLA OLUWAFEMI DARAMOLA,B.SC GEOLOGY,Student,,,,"",""
21,ABIMBOLA OLUWAFEMI DARAMOLA,"",Student,ADO GRAMMER SCH ,Political Institution,,"",1984
22,ABIODUN ABUDU-BALOGUN,WASC,Student,Ilusin Grammar School,Political Institution,,"",""
12,ABDULLAHI SALAME BALARABE,Diploma in Computer Studies.,Student,The Polytechnic of Sokoto State.,Political Institution,,2004,2005
12,ABDULLAHI SALAME BALARABE,N. C. E. Arabic/Islam (Arabic Medium),Student,"Shehu Shagari College of Education, Sokoto.",Political Institution,,2002,2003
12,ABDULLAHI SALAME BALARABE,M. A. Islamic studies.,Student,"Usman Danfodiyo University, Sokoto",Political Institution,,1990,1991
14,ABDULMUMIN JIBRIN,PLD,Student,"Harvard Business School, US",Political Institution,USA,"",2010
14,ABDULMUMIN JIBRIN,PhD,Student,University of Abuja,Political Institution,Abuja,"",2009
14,ABDULMUMIN JIBRIN,"",Student,London Business School,Political Institution,UK,"",2009
14,ABDULMUMIN JIBRIN,BSc,Student,University of Abuja,Political Institution,Abuja,"",1999
8,ABDULLAHI IDRIS GARBA,Diploma in Public Administration,Student,University of Abuja,Political Institution,Abuja,"",2011
8,ABDULLAHI IDRIS GARBA,SSCE,Student,,,,"",1995
10,ABDULLAHI MUHAMMED WAMAKKO,HND ACCOUNTANCY ,Student,KEBBI STATE POLYTECHNIC,Political Institution,,2000,2002
22,ABIODUN ABUDU-BALOGUN,MBA,Student,Lagos State University,Political Institution,Lagos State,"",""
24,ABIOLA ADEBUKOLA AJAJA,Ph.D Education / Industrial Welfare,Student,,,,"",""
24,ABIOLA ADEBUKOLA AJAJA,M. S. W Master Of Social Work,Student,,,,"",""
24,ABIOLA ADEBUKOLA AJAJA,M. Ed Master In Education (Community Develop.),Student,,,,"",""
24,ABIOLA ADEBUKOLA AJAJA,B. Ed Barchelor Degree In Guidance & Couns./Lang. Art,Student,,,,"",""
24,ABIOLA ADEBUKOLA AJAJA,NCE Nigeria Certificate bIn Education,Student,,,,"",""
24,ABIOLA ADEBUKOLA AJAJA,Teachers Grd II Certificate.,Student,,,,"",""
24,ABIOLA ADEBUKOLA AJAJA,Primary School Certificate.,Student,,,,"",""
25,ABIOSE IFEOLUWA AROWOSOGE,B.Sc ZOOLOGY,Student,,,,"",""
25,ABIOSE IFEOLUWA AROWOSOGE,M.Sc FOREST RESOURCES,Student,,,,"",""
25,ABIOSE IFEOLUWA AROWOSOGE,Ph.D AGRICULTURE,Student,,,,"",""
16,ABDULRAHAMAN BADAMASUIY,HND,Student,Kaduna Polytechnic,Political Institution,,"",1988
16,ABDULRAHAMAN BADAMASUIY,ND,Student,KWARA COLL.OF TECH ILORIN,Political Institution,,"",1984
18,ABDURAHMAN ABBA TERAB,"",Student,Federal Government College Maiduguri,Political Institution,,"",""
21,ABIMBOLA OLUWAFEMI DARAMOLA,"",Student,CHRIST SCH ADO EKITI,Political Institution,,"",1983
22,ABIODUN ABUDU-BALOGUN,OND,Student,Kaduna Polytechnic,Political Institution,,"",""
21,ABIMBOLA OLUWAFEMI DARAMOLA,MBA ,Student,UNI.OF ILORIN,Political Institution,,"",""
22,ABIODUN ABUDU-BALOGUN,Sch Leaving Cert.,Student,LG Pry Sch Ita-Otu,Political Institution,,"",""
20,ABIKE DABIRI-EREWA,B.A English,Student,"Obafemi Awolowo University, Ile Ife",Political Institution,,"",""
25,ABIOSE IFEOLUWA AROWOSOGE,LL.B,Student,,,,"",""
25,ABIOSE IFEOLUWA AROWOSOGE,B.L,Student,,,,"",""
25,ABIOSE IFEOLUWA AROWOSOGE,LL.M,Student,,,,"",""
25,ABIOSE IFEOLUWA AROWOSOGE,"",Associate,CHARTED INSTITUTE OF  ARBITRATORS,Political Institution,,"",""
26,ABUBAKAR ESHIOKPEK MOMOH,"",Student,"St Columbanus Roman Catholic Sch., Imiegba",Political Institution,,"",1969
28,ABUBAKAR MISAU AHMED,FSLC,Student,,,,"",""
28,ABUBAKAR MISAU AHMED,WAEC (GCE),Student,,,,"",""
28,ABUBAKAR MISAU AHMED,ND (ACCOUNTANCY),Student,,,,"",""
28,ABUBAKAR MISAU AHMED,HND (ACCOUNTANCY),Student,,,,"",""
28,ABUBAKAR MISAU AHMED,PGDM (MGT),Student,,,,"",""
28,ABUBAKAR MISAU AHMED,CERTIFIED ACCOUNTANT (ANAN),Student,,,,"",""
30,ADAMU ABUNABO HASSAN,NATIONAL DIPLOMA PRI.SCH.CERT.,Student,,,,"",""
33,ADEKUNLE ADEYEMI,"",Student,Methodist High School,Political Institution,,"",1985
33,ADEKUNLE ADEYEMI,Nigerian Law School Lagos,Student,,,Lagos State,"",1995
35,ADEOBA AKINTOLA JOHNSON,West Africa School Certificate,Student,,,,"",""
35,ADEOBA AKINTOLA JOHNSON,Teachers Certificate (GradeII),Student,,,,"",""
35,ADEOBA AKINTOLA JOHNSON,Diploma In Business Studies,Student,,,,"",""
35,ADEOBA AKINTOLA JOHNSON,Masters Business Administration (MBA),Student,,,,"",""
39,ADEWUSI TUNDE RAZAQ,N.D. Public Admin,Student,,,,"",""
36,ADEPOJU SUNDAY ADEYEMI,"MBA, CNA, HND, ACTI, ANIMN, WASC",Student,,,,"",""
45,AFEES ADELOWO JIMOH,MSc. Electronics and Computer Engineering,Student,Lagos State University,Political Institution,Lagos State,2004,2006
26,ABUBAKAR ESHIOKPEK MOMOH,"",Student,Ambrose Ali University Ekpoma ,Political Institution,,"",2002
27,ABUBAKAR MAHMUD WAMBAI,Grade II Cert.,Student,Teachers College Numan,Political Institution,,"",""
27,ABUBAKAR MAHMUD WAMBAI,School Leaving Cert.,Student,Mubi 1 Primary School,Political Institution,,"",""
45,AFEES ADELOWO JIMOH,Diploma in Physics/ Electronics (HND),Student,University of Lagos,Political Institution,Lagos State,1997,1999
47,AHMAD AUDI ZAREWA,"",Student,Teacher College Rumbotso,Political Institution,,1978,1983
47,AHMAD AUDI ZAREWA,"",Student,Zarewa Central Primary school,Political Institution,,1972,1978
49,AHMED FONS NWANGUBI,B.D (English),Student,,,,"",""
49,AHMED FONS NWANGUBI,NCE,Student,,,,"",""
49,AHMED FONS NWANGUBI,Teachers' Grade II Certificate,Student,,,,"",""
49,AHMED FONS NWANGUBI,FLSC,Student,,,,"",""
51,AHMED MUKHTAR MOHAMMED,Masters in Urban & Regional Planning,Student,,,,2001,2002
51,AHMED MUKHTAR MOHAMMED,M.Sc Building Construction,Student,,,,1989,1990
51,AHMED MUKHTAR MOHAMMED,"B.Sc (hons) Building,",Student,,,,"",1983
51,AHMED MUKHTAR MOHAMMED,WAEC,Student,,,,1973,1978
51,AHMED MUKHTAR MOHAMMED,First School Leaving Certificate,Student,,,,"",""
52,AHMED YUSUF TIJANI,G.C.E. ,Student,LOCAL GOVT.SEC SCH,Political Institution,,1984,1990
52,AHMED YUSUF TIJANI,FSLC ,Student,NURU/ISLAMIC SCH OKENE,Political Institution,,1978,1984
53,AISHA AHMED DAHIRU,Higher National Diploma - Electrical Electronics Engineering.,Student,,,,"",""
53,AISHA AHMED DAHIRU,Computer Certificate,Student,"University of Southampton, UK",Political Institution,UK,"",""
53,AISHA AHMED DAHIRU,Post Grad. Studies - in view.,Student,,,,"",""
54,AIYEDUN OLAYINKA AKEEM,First School Leaving Certificate,Student,,,,"",""
54,AIYEDUN OLAYINKA AKEEM,West African School Certificate,Student,,,,"",""
54,AIYEDUN OLAYINKA AKEEM,Advance Level,Student,,,,"",""
54,AIYEDUN OLAYINKA AKEEM,LL.B,Student,,,,"",""
54,AIYEDUN OLAYINKA AKEEM,BL.,Student,,,,"",""
